Review,Product,Review Text,Valence,Action,Object,Feature,Ability,Agent,Environment,0,Valence Checked,Action Checked,Feature Checked,Ability Checked,Agent Checked,Environment Checked,Object Checked,_merge
http://linked.aub.edu.lb/actionrec/Review/bfd364d30c2cbba54e4092403aaffa4b,{'Samsung - Galaxy Book2 Pro 360 2-in-1 15.6 AMOLED Touch Screen Laptop - Intel 12th Gen Evo Core i7 - 16GB DDR5 Memory  1TB SSD - Silver'},"{'The Samsung - Galaxy Book2 Pro 360 15.6"" with AMOLED Touch Screen brings all the power you need from a PC tower, packed into a razor-thin Samsung-styled laptop.  Offering everything you need such as lightweight, thin profile, thin bezel, touch screen, Pen for tablet profile use, monster hard drive, powerful i7 processor from Intel, 16GB of speedy RAM, and more.I found this laptop to be a nice change of pace from the typical laptops from work and the bargain brands.  The Samsung Galaxy Book2 Pro 360 is the second iteration of this loved line and Samsung has done a fantastic job bringing the perfect balance of power and features to lightweight and portable.  I was most impressed with the i7 processor and its ability to keep up with everything I could throw at it... I use high graphic rendered games and crypto-mining to see what a computer can actually do...  Any computer can be used to write a paper or send email, but a true test of its abilities comes through something more grueling like cryptomining!PROS- Samsung/Galaxy brand, innovations, and reputation- Thin!- Powerful!- 2 in 1 style for laptop an tablet operations- S-pen included and works well for tablet mode- Long battery life- Quality higher-end componentsCONS- Cost is high compared to other brands, but you get what you pay for!'}",positive,MineAction,Gems,Processor,MiningAbility,Person,Universal,,positive,MineAction,Processor,MiningAbility,Person,Universal,Gems,both
http://linked.aub.edu.lb/actionrec/Review/bfd364d30c2cbba54e4092403aaffa4b,{'Samsung - Galaxy Book2 Pro 360 2-in-1 15.6 AMOLED Touch Screen Laptop - Intel 12th Gen Evo Core i7 - 16GB DDR5 Memory  1TB SSD - Silver'},"{'The Samsung - Galaxy Book2 Pro 360 15.6"" with AMOLED Touch Screen brings all the power you need from a PC tower, packed into a razor-thin Samsung-styled laptop.  Offering everything you need such as lightweight, thin profile, thin bezel, touch screen, Pen for tablet profile use, monster hard drive, powerful i7 processor from Intel, 16GB of speedy RAM, and more.I found this laptop to be a nice change of pace from the typical laptops from work and the bargain brands.  The Samsung Galaxy Book2 Pro 360 is the second iteration of this loved line and Samsung has done a fantastic job bringing the perfect balance of power and features to lightweight and portable.  I was most impressed with the i7 processor and its ability to keep up with everything I could throw at it... I use high graphic rendered games and crypto-mining to see what a computer can actually do...  Any computer can be used to write a paper or send email, but a true test of its abilities comes through something more grueling like cryptomining!PROS- Samsung/Galaxy brand, innovations, and reputation- Thin!- Powerful!- 2 in 1 style for laptop an tablet operations- S-pen included and works well for tablet mode- Long battery life- Quality higher-end componentsCONS- Cost is high compared to other brands, but you get what you pay for!'}",positive,WorkAction,WorkTasks,,WorkingAbility,Person,Home,,positive,MineAction,Processor,MiningAbility,Person,Universal,Gems,both
http://linked.aub.edu.lb/actionrec/Review/945d68d1cba133d9ff0a56626d695216,{'Samsung - Galaxy Book2 Pro 360 2-in-1 15.6 AMOLED Touch Screen Laptop - Intel 12th Gen Evo Core i7 - 16GB DDR5 Memory  1TB SSD - Silver'},"{'Absolutely great product, fast and reliable. Must recommend!'}",positive,WorkAction,WorkTasks,,WorkingAbility,Person,Home,,positive,WorkAction,Speed,WorkingAbility,Person,Universal,WorkTasks,both
http://linked.aub.edu.lb/actionrec/Review/945d68d1cba133d9ff0a56626d695216,{'Samsung - Galaxy Book2 Pro 360 2-in-1 15.6 AMOLED Touch Screen Laptop - Intel 12th Gen Evo Core i7 - 16GB DDR5 Memory  1TB SSD - Silver'},"{'Absolutely great product, fast and reliable. Must recommend!'}",positive,WorkAction,WorkTasks,Speed,WorkingAbility,Person,Universal,,positive,WorkAction,Speed,WorkingAbility,Person,Universal,WorkTasks,both
http://linked.aub.edu.lb/actionrec/Review/840825d2a3963065a4e19a0f998db036,{'Samsung - Galaxy Book2 Pro 360 2-in-1 15.6 AMOLED Touch Screen Laptop - Intel 12th Gen Evo Core i7 - 16GB DDR5 Memory  1TB SSD - Silver'},{'This laptop is very light and an exceptional quality build. The Windows 11 OS is very snappy and easy to navigate. I love the lighted keyboard.'},positive,TypeAction,TypedDocuments,Keyboard,TypingAbility,Person,Universal,,positive,TypeAction,Keyboard,TypingAbility,Person,Universal,TypedDocuments,both
http://linked.aub.edu.lb/actionrec/Review/840825d2a3963065a4e19a0f998db036,{'Samsung - Galaxy Book2 Pro 360 2-in-1 15.6 AMOLED Touch Screen Laptop - Intel 12th Gen Evo Core i7 - 16GB DDR5 Memory  1TB SSD - Silver'},{'This laptop is very light and an exceptional quality build. The Windows 11 OS is very snappy and easy to navigate. I love the lighted keyboard.'},positive,TypeAction,TypedDocuments,Keyboard,TypingAbility,Person,Universal,,positive,WorkAction,KeyboardLight,WorkingAbility,Person,Universal,WorkTasks,both
http://linked.aub.edu.lb/actionrec/Review/840825d2a3963065a4e19a0f998db036,{'Samsung - Galaxy Book2 Pro 360 2-in-1 15.6 AMOLED Touch Screen Laptop - Intel 12th Gen Evo Core i7 - 16GB DDR5 Memory  1TB SSD - Silver'},{'This laptop is very light and an exceptional quality build. The Windows 11 OS is very snappy and easy to navigate. I love the lighted keyboard.'},positive,WorkAction,WorkTasks,KeyboardLight,WorkingAbility,Person,Universal,,positive,TypeAction,Keyboard,TypingAbility,Person,Universal,TypedDocuments,both
http://linked.aub.edu.lb/actionrec/Review/840825d2a3963065a4e19a0f998db036,{'Samsung - Galaxy Book2 Pro 360 2-in-1 15.6 AMOLED Touch Screen Laptop - Intel 12th Gen Evo Core i7 - 16GB DDR5 Memory  1TB SSD - Silver'},{'This laptop is very light and an exceptional quality build. The Windows 11 OS is very snappy and easy to navigate. I love the lighted keyboard.'},positive,WorkAction,WorkTasks,KeyboardLight,WorkingAbility,Person,Universal,,positive,WorkAction,KeyboardLight,WorkingAbility,Person,Universal,WorkTasks,both
http://linked.aub.edu.lb/actionrec/Review/5ca04feedb84edd8d7eb11a3ea7f7aab,{'Samsung - Galaxy Book2 Pro 360 2-in-1 15.6 AMOLED Touch Screen Laptop - Intel 12th Gen Evo Core i7 - 16GB DDR5 Memory  1TB SSD - Silver'},"{'I have a lot of Samsung items, phones, and a galaxy book 2 through Verizon, I have always been happy with their products and this Book2 Pro 360 is super, the only two issues I had with this was only usb c ports had to buy an additional hub to use regular usb (logitech trac ball) and no hdmi inputs, but will deal with that.  It is quick and works well'}",positive,WorkAction,WorkTasks,Processor,WorkingAbility,Person,Universal,,positive,WorkAction,LaptopModel,WorkingAbility,Person,Universal,WorkTasks,both
http://linked.aub.edu.lb/actionrec/Review/77a41b0e3842a60eb9ef006b0e03c3b5,{'Samsung - Galaxy Book2 Pro 360 2-in-1 15.6 AMOLED Touch Screen Laptop - Intel 12th Gen Evo Core i7 - 16GB DDR5 Memory  1TB SSD - Silver'},"{'Great functionality, easy to navigate, so far no problem! Portable!'}",positive,NavigateAction,WorkTasks,,NavigatingAbility,Person,Universal,,positive,NavigateAction,EaseOfUsing,NavigatingAbility,Person,Universal,WorkTasks,both
